Lat,Long,Species,Present,Total
51.19,-2.788,White/Buff-tailed Bumblebee workers,1,190
53.1,-1.53,a white-tailed bumblebee,1,189
51.41,-0.07471,Common Carder,1,188
52.25,0.7335,Buff-tailed Bumblebee,1,188
52.19,-3.996,Buff-tailed Bumblebee,1,187
54.77,-2.085,Common Carder,1,186
55.86,-3.174,a white-tailed bumblebee,1,186
57.25,-2.729,Indet. Bee,1,186
50.98,-4.52,Buff-tailed Bumblebee,1,184
51.04,-2.667,Garden Bumblebee,1,184
51.07,1.073,Buff-tailed Bumblebee,1,184
51.87,-4.971,Indet. Bee,1,184
54.96,-1.397,Common Carder,1,184
55.86,-2.928,Buff-tailed Bumblebee,1,184
55.99,-2.447,a white-tailed bumblebee,1,184
57.62,-3.093,a white-tailed bumblebee,1,184
52.31,0.2911,Common Carder,1,183
53.07,-1.476,White/Buff-tailed Bumblebee workers,1,183
53.11,-1.55,White/Buff-tailed Bumblebee workers,1,183
54.3,-2.794,Red-tailed Bumblebee,1,183
55.96,-2.801,Common Carder,1,183
51.16,-2.825,Tree Bumblebee,1,181
51.5,-3.232,Red-tailed Bumblebee,1,180
51.59,-1.97,Common Carder,1,180
51.69,-2.858,Red-tailed Bumblebee,1,180
56.05,-2.719,White/Buff-tailed Bumblebee workers,1,180
51.11,0.2229,Honeybee,1,179
51.16,-2.829,White/Buff-tailed Bumblebee workers,1,179
51.32,-0.928,Common Carder,1,179
52.95,-1.479,Tree Bumblebee,1,179
51.17,-2.855,White/Buff-tailed Bumblebee workers,1,177
56.52,-2.665,Buff-tailed Bumblebee,1,177
50.62,-3.417,a white-tailed bumblebee,1,176
51.3,-0.831,Indet. Bee,1,176
51.47,0.08189,Indet. Bee,1,176
50.85,-1.852,Common Carder,1,175
51.57,-0.1601,Indet. Bee,1,175
52.41,-4.076,White/Buff-tailed Bumblebee workers,1,174
54.19,-2.348,Indet. Bee,1,174
55.95,-3.166,White/Buff-tailed Bumblebee workers,1,174
51,0.9586,Red-tailed Bumblebee,1,173
52.24,-0.06821,Indet. Bee,1,173
55.8,-4.597,White/Buff-tailed Bumblebee workers,1,173
51,0.9586,Buff-tailed Bumblebee,1,172
51.21,-1.741,Buff-tailed Bumblebee,1,172
53.79,-1.366,Buff-tailed Bumblebee,1,172
54.41,-1.746,Common Carder,1,172
55.88,-3.071,Honeybee,1,172
51.35,1.016,Honeybee,1,171
55.2,-4.225,a white-tailed bumblebee,1,171
55.79,-4.319,Common Carder,1,171
51.23,0.4878,Honeybee,1,170
52.61,-1.147,Indet. Bee,1,170
56.41,-3.441,Common Carder,1,170
50.94,0.9321,Early Bumblebee,1,169
51.11,-2.457,Common Carder,1,169
55.99,-2.447,Common Carder,1,169
50.13,-5.078,Honeybee,1,168
50.96,-1.92,White/Buff-tailed Bumblebee workers,1,167
51.16,-2.798,Early Bumblebee,1,167
54.24,-1.067,Early Bumblebee,1,167
55.95,-3.151,Buff-tailed Bumblebee,1,167
51.62,0.8196,Buff-tailed Bumblebee,1,166
51.77,-1.225,Common Carder,1,166
51.42,-0.5936,Common Carder,1,165
54.21,-3.259,Buff-tailed Bumblebee,1,165
55.99,-3.467,Common Carder,1,165
50.98,-4.52,Early Bumblebee,1,164
51.07,1.113,Buff-tailed Bumblebee,1,164
53.79,-0.4168,Red-tailed Bumblebee,1,164
55.97,-4.33,White/Buff-tailed Bumblebee workers,1,164
52.87,-1.566,Buff-tailed Bumblebee,1,163
53.57,-2.921,a white-tailed bumblebee,1,163
55.78,-4.86,a white-tailed bumblebee,1,163
52.17,0.06198,White/Buff-tailed Bumblebee workers,1,162
52.9,-3.124,White/Buff-tailed Bumblebee workers,1,162
53.12,-2.768,a white-tailed bumblebee,1,162
55.31,-1.887,Common Carder,1,162
57.67,-3.318,White/Buff-tailed Bumblebee workers,1,162
50.82,-1.35,White/Buff-tailed Bumblebee workers,1,161
52.59,-1.702,Common Carder,1,161
50.94,0.9321,Common Carder,1,160
51,0.9586,Common Carder,1,160
51.08,1.085,Honeybee,1,160
51.5,-0.9195,Honeybee,1,160
52.45,0.9918,Common Carder,1,160
52.56,-0.3079,Honeybee,1,160
50.94,0.9321,a white-tailed bumblebee,1,159
54.2,-2.141,White/Buff-tailed Bumblebee workers,1,159
55.8,-4.213,Indet. Bee,1,159
55.95,-3.178,Buff-tailed Bumblebee,1,159
53.49,-2.071,a white-tailed bumblebee,1,158
54.88,-3.669,a white-tailed bumblebee,1,158
55.89,-3.69,Buff-tailed Bumblebee,1,158
52.07,-4.755,White/Buff-tailed Bumblebee workers,1,156
51.16,-2.853,Common Carder,1,155
51.2,1.281,Red-tailed Bumblebee,1,155
55.8,-4.213,White/Buff-tailed Bumblebee workers,1,155
55.97,-2.854,Indet. Bee,1,155
56.57,-3.181,White/Buff-tailed Bumblebee workers,1,155
50.83,-1.056,White/Buff-tailed Bumblebee workers,1,154
51.03,-2.669,White/Buff-tailed Bumblebee workers,1,154
51.38,0.6697,Common Carder,1,154
51.47,0.08189,Common Carder,1,153
51.86,-2.08,Red-tailed Bumblebee,1,153
55.72,-1.947,White/Buff-tailed Bumblebee workers,1,153
56.3,-3.159,Red-tailed Bumblebee,1,153
56.64,-2.712,Common Carder,1,153
51.86,0.5139,White/Buff-tailed Bumblebee workers,1,152
51.95,-4.178,a white-tailed bumblebee,1,152
53.86,-0.6317,Garden Bumblebee,1,152
53.97,-2.437,Common Carder,1,152
56.06,-2.776,White/Buff-tailed Bumblebee workers,1,152
57.27,-2.415,Common Carder,1,152
51.06,-0.3148,Buff-tailed Bumblebee,1,151
52.45,0.9918,Garden Bumblebee,1,151
53.07,-1.495,Common Carder,1,151
53.11,-1.568,Common Carder,1,151
56.21,-3.406,Buff-tailed Bumblebee,1,151
56.42,-3.47,Buff-tailed Bumblebee,1,151
56.52,-2.666,a white-tailed bumblebee,1,151
50.69,-1.521,Red-tailed Bumblebee,1,150
54.2,-2.118,Buff-tailed Bumblebee,1,150
54.9,-1.481,Buff-tailed Bumblebee,1,150
55.43,-4.652,Indet. Bee,1,150
56.4,-3.429,Common Carder,1,150
57.28,-4.452,Garden Bumblebee,1,150
51.32,-0.928,White/Buff-tailed Bumblebee workers,1,149
53.95,-2.425,Common Carder,1,149
56.07,-3.466,a white-tailed bumblebee,1,149
50.82,-1.35,Red-tailed Bumblebee,1,148
51.18,-1.677,Common Carder,1,148
51.2,-2.832,White/Buff-tailed Bumblebee workers,1,148
51.2,-2.777,Early Bumblebee,1,148
56.44,-3.486,Common Carder,1,148
49.71,-2.2,Honeybee,1,147
51.19,-2.784,Tree Bumblebee,1,147
51.21,-1.689,Honeybee,1,147
52.09,1.315,Common Carder,1,147
53.83,-0.5884,White/Buff-tailed Bumblebee workers,1,147
54.86,-1.72,Common Carder,1,147
50.62,-3.417,Indet. Bee,1,146
51.06,-1.789,Buff-tailed Bumblebee,1,146
51.15,-2.801,Common Carder,1,146
51.86,0.5139,Common Carder,1,146
53.59,-3.071,White/Buff-tailed Bumblebee workers,1,146
50.81,-1.046,Common Carder,1,145
50.85,-1.055,Honeybee,1,145
50.93,0.7582,Buff-tailed Bumblebee,1,145
51,0.5895,Buff-tailed Bumblebee,1,145
51.2,1.281,Honeybee,1,145
51.24,-0.003106,Red-tailed Bumblebee,1,145
54.75,-2.014,Buff-tailed Bumblebee,1,145
56,-3.47,Garden Bumblebee,1,145
53.07,-1.476,Red-tailed Bumblebee,1,144
54.07,-1.979,White/Buff-tailed Bumblebee workers,1,144
55.95,-3.178,a white-tailed bumblebee,1,144
51.5,-3.232,Tree Bumblebee,1,143
53.26,-2.73,Honeybee,1,143
50.98,-4.52,Honeybee,1,142
53.05,-1.805,Buff-tailed Bumblebee,1,142
53.11,-1.565,Honeybee,1,142
53.97,-2.454,Indet. Bee,1,142
54.75,-2.186,Common Carder,1,142
