County,Species,CountySpecies,Agg Total,Agg Present
Warwickshire,Panzer's Nomad Bee,Warwickshire Panzer's Nomad Bee,0,0
West Cornwall with Scilly,Panzer's Nomad Bee,West Cornwall with Scilly Panzer's Nomad Bee,0,0
West Gloucestershire,Panzer's Nomad Bee,West Gloucestershire Panzer's Nomad Bee,0,0
West Inverness-shire,Panzer's Nomad Bee,West Inverness-shire Panzer's Nomad Bee,0,0
West Kent,Panzer's Nomad Bee,West Kent Panzer's Nomad Bee,0,0
West Lancashire,Panzer's Nomad Bee,West Lancashire Panzer's Nomad Bee,0,0
West Norfolk,Panzer's Nomad Bee,West Norfolk Panzer's Nomad Bee,3,1
West Perthshire,Panzer's Nomad Bee,West Perthshire Panzer's Nomad Bee,0,0
West Suffolk,Panzer's Nomad Bee,West Suffolk Panzer's Nomad Bee,0,0
West Sussex,Panzer's Nomad Bee,West Sussex Panzer's Nomad Bee,0,0
Westmorland,Panzer's Nomad Bee,Westmorland Panzer's Nomad Bee,0,0
Worcestershire,Panzer's Nomad Bee,Worcestershire Panzer's Nomad Bee,0,0
Yorkshire,Panzer's Nomad Bee,Yorkshire Panzer's Nomad Bee,0,0
Aberdeenshire,Bare-saddled Blood Bee,Aberdeenshire Bare-saddled Blood Bee,0,0
Alderney,Bare-saddled Blood Bee,Alderney Bare-saddled Blood Bee,0,0
Angus,Bare-saddled Blood Bee,Angus Bare-saddled Blood Bee,0,0
Argyll & Bute,Bare-saddled Blood Bee,Argyll & Bute Bare-saddled Blood Bee,0,0
Argyllshire,Bare-saddled Blood Bee,Argyllshire Bare-saddled Blood Bee,0,0
Ayrshire,Bare-saddled Blood Bee,Ayrshire Bare-saddled Blood Bee,0,0
Bedfordshire,Bare-saddled Blood Bee,Bedfordshire Bare-saddled Blood Bee,0,0
Berkshire,Bare-saddled Blood Bee,Berkshire Bare-saddled Blood Bee,0,0
Berwickshire,Bare-saddled Blood Bee,Berwickshire Bare-saddled Blood Bee,0,0
Buckinghamshire,Bare-saddled Blood Bee,Buckinghamshire Bare-saddled Blood Bee,0,0
Caernarvonshire,Bare-saddled Blood Bee,Caernarvonshire Bare-saddled Blood Bee,0,0
Caithness,Bare-saddled Blood Bee,Caithness Bare-saddled Blood Bee,0,0
Camarthenshire,Bare-saddled Blood Bee,Camarthenshire Bare-saddled Blood Bee,0,0
Cambridgeshire,Bare-saddled Blood Bee,Cambridgeshire Bare-saddled Blood Bee,0,0
Cardiganshire,Bare-saddled Blood Bee,Cardiganshire Bare-saddled Blood Bee,0,0
Carmarthenshire,Bare-saddled Blood Bee,Carmarthenshire Bare-saddled Blood Bee,0,0
Ceredigion,Bare-saddled Blood Bee,Ceredigion Bare-saddled Blood Bee,0,0
Cheshire,Bare-saddled Blood Bee,Cheshire Bare-saddled Blood Bee,0,0
Clyde Isles,Bare-saddled Blood Bee,Clyde Isles Bare-saddled Blood Bee,0,0
Conwy,Bare-saddled Blood Bee,Conwy Bare-saddled Blood Bee,0,0
County Durham,Bare-saddled Blood Bee,County Durham Bare-saddled Blood Bee,0,0
Cumberland,Bare-saddled Blood Bee,Cumberland Bare-saddled Blood Bee,0,0
Denbighshire,Bare-saddled Blood Bee,Denbighshire Bare-saddled Blood Bee,0,0
Derbyshire,Bare-saddled Blood Bee,Derbyshire Bare-saddled Blood Bee,0,0
Dorset,Bare-saddled Blood Bee,Dorset Bare-saddled Blood Bee,0,0
Dumfriesshire,Bare-saddled Blood Bee,Dumfriesshire  Bare-saddled Blood Bee,0,0
Dunbartonshire,Bare-saddled Blood Bee,Dunbartonshire Bare-saddled Blood Bee,0,0
East Cornwall,Bare-saddled Blood Bee,East Cornwall Bare-saddled Blood Bee,0,0
East Gloucestershire,Bare-saddled Blood Bee,East Gloucestershire Bare-saddled Blood Bee,0,0
East Inverness-shire,Bare-saddled Blood Bee,East Inverness-shire Bare-saddled Blood Bee,0,0
East Kent,Bare-saddled Blood Bee,East Kent Bare-saddled Blood Bee,0,0
East Lothian,Bare-saddled Blood Bee,East Lothian Bare-saddled Blood Bee,0,0
East Norfolk,Bare-saddled Blood Bee,East Norfolk Bare-saddled Blood Bee,0,0
East Perthshire,Bare-saddled Blood Bee,East Perthshire Bare-saddled Blood Bee,0,0
East Suffolk,Bare-saddled Blood Bee,East Suffolk Bare-saddled Blood Bee,0,0
East Sussex,Bare-saddled Blood Bee,East Sussex Bare-saddled Blood Bee,0,0
East Sutherland,Bare-saddled Blood Bee,East Sutherland Bare-saddled Blood Bee,0,0
Fifeshire,Bare-saddled Blood Bee,Fifeshire Bare-saddled Blood Bee,0,0
Flintshire,Bare-saddled Blood Bee,Flintshire Bare-saddled Blood Bee,0,0
Glamorganshire,Bare-saddled Blood Bee,Glamorganshire Bare-saddled Blood Bee,0,0
Gwent,Bare-saddled Blood Bee,Gwent Bare-saddled Blood Bee,0,0
Herefordshire,Bare-saddled Blood Bee,Herefordshire Bare-saddled Blood Bee,0,0
Hertfordshire,Bare-saddled Blood Bee,Hertfordshire Bare-saddled Blood Bee,0,0
Huntingdonshire,Bare-saddled Blood Bee,Huntingdonshire Bare-saddled Blood Bee,0,0
Isle of Man,Bare-saddled Blood Bee,Isle of Man Bare-saddled Blood Bee,0,0
Isle of Wight,Bare-saddled Blood Bee,Isle of Wight Bare-saddled Blood Bee,0,0
Kincardineshire,Bare-saddled Blood Bee,Kincardineshire Bare-saddled Blood Bee,0,0
Kirkudbrightshire,Bare-saddled Blood Bee,Kirkudbrightshire Bare-saddled Blood Bee,0,0
Lanarkshire,Bare-saddled Blood Bee,Lanarkshire Bare-saddled Blood Bee,0,0
Lancashire,Bare-saddled Blood Bee,Lancashire Bare-saddled Blood Bee,0,0
Leicestershire,Bare-saddled Blood Bee,Leicestershire Bare-saddled Blood Bee,0,0
Lincolnshire,Bare-saddled Blood Bee,Lincolnshire Bare-saddled Blood Bee,0,0
Linlithgow,Bare-saddled Blood Bee,Linlithgow Bare-saddled Blood Bee,0,0
Mid Perthshire,Bare-saddled Blood Bee,Mid Perthshire Bare-saddled Blood Bee,0,0
Mid-west Yorkshire,Bare-saddled Blood Bee,Mid-west Yorkshire Bare-saddled Blood Bee,0,0
Middlesex,Bare-saddled Blood Bee,Middlesex Bare-saddled Blood Bee,0,0
Midlothian,Bare-saddled Blood Bee,Midlothian Bare-saddled Blood Bee,0,0
Monmouthshire,Bare-saddled Blood Bee,Monmouthshire Bare-saddled Blood Bee,0,0
Moray,Bare-saddled Blood Bee,Moray Bare-saddled Blood Bee,0,0
North Aberdeenshire,Bare-saddled Blood Bee,North Aberdeenshire Bare-saddled Blood Bee,0,0
North Ayrshire,Bare-saddled Blood Bee,North Ayrshire Bare-saddled Blood Bee,0,0
North Devon,Bare-saddled Blood Bee,North Devon Bare-saddled Blood Bee,0,0
North Essex,Bare-saddled Blood Bee,North Essex Bare-saddled Blood Bee,0,0
North Hampshire,Bare-saddled Blood Bee,North Hampshire Bare-saddled Blood Bee,0,0
North Lanarkshire,Bare-saddled Blood Bee,North Lanarkshire Bare-saddled Blood Bee,0,0
North Lincolnshire,Bare-saddled Blood Bee,North Lincolnshire Bare-saddled Blood Bee,0,0
North Northumberland,Bare-saddled Blood Bee,North Northumberland Bare-saddled Blood Bee,0,0
North Somerset,Bare-saddled Blood Bee,North Somerset Bare-saddled Blood Bee,0,0
North Wiltshire,Bare-saddled Blood Bee,North Wiltshire Bare-saddled Blood Bee,0,0
North-east Yorkshire,Bare-saddled Blood Bee,North-east Yorkshire Bare-saddled Blood Bee,0,0
North-west Yorkshire,Bare-saddled Blood Bee,North-west Yorkshire Bare-saddled Blood Bee,0,0
Northamptonshire,Bare-saddled Blood Bee,Northamptonshire Bare-saddled Blood Bee,0,0
Northumberland,Bare-saddled Blood Bee,Northumberland Bare-saddled Blood Bee,0,0
Nottinghamshire,Bare-saddled Blood Bee,Nottinghamshire Bare-saddled Blood Bee,0,0
Orkney,Bare-saddled Blood Bee,Orkney Bare-saddled Blood Bee,0,0
Oxfordshire,Bare-saddled Blood Bee,Oxfordshire Bare-saddled Blood Bee,0,0
Pembrokeshire,Bare-saddled Blood Bee,Pembrokeshire Bare-saddled Blood Bee,0,0
Perthshire,Bare-saddled Blood Bee,Perthshire Bare-saddled Blood Bee,0,0
Radnorshire,Bare-saddled Blood Bee,Radnorshire Bare-saddled Blood Bee,0,0
Renfrewshire,Bare-saddled Blood Bee,Renfrewshire Bare-saddled Blood Bee,0,0
Roxburghshire,Bare-saddled Blood Bee,Roxburghshire Bare-saddled Blood Bee,0,0
Shropshire,Bare-saddled Blood Bee,Shropshire Bare-saddled Blood Bee,0,0
South Aberdeenshire,Bare-saddled Blood Bee,South Aberdeenshire Bare-saddled Blood Bee,0,0
South Devon,Bare-saddled Blood Bee,South Devon Bare-saddled Blood Bee,0,0
South East Yorkshire,Bare-saddled Blood Bee,South East Yorkshire Bare-saddled Blood Bee,0,0
South Ebudes,Bare-saddled Blood Bee,South Ebudes Bare-saddled Blood Bee,0,0
South Essex,Bare-saddled Blood Bee,South Essex Bare-saddled Blood Bee,0,0
South Hampshire,Bare-saddled Blood Bee,South Hampshire Bare-saddled Blood Bee,0,0
South Lanarkshire,Bare-saddled Blood Bee,South Lanarkshire Bare-saddled Blood Bee,0,0
South Lancashire,Bare-saddled Blood Bee,South Lancashire Bare-saddled Blood Bee,0,0
South Lincolnshire,Bare-saddled Blood Bee,South Lincolnshire Bare-saddled Blood Bee,0,0
South Northumberland,Bare-saddled Blood Bee,South Northumberland Bare-saddled Blood Bee,0,0
South Somerset,Bare-saddled Blood Bee,South Somerset Bare-saddled Blood Bee,0,0
South Wiltshire,Bare-saddled Blood Bee,South Wiltshire Bare-saddled Blood Bee,0,0
South-east Yorkshire,Bare-saddled Blood Bee,South-east Yorkshire Bare-saddled Blood Bee,0,0
South-west Yorkshire,Bare-saddled Blood Bee,South-west Yorkshire Bare-saddled Blood Bee,0,0
Staffordshire,Bare-saddled Blood Bee,Staffordshire Bare-saddled Blood Bee,0,0
Stirlingshire,Bare-saddled Blood Bee,Stirlingshire Bare-saddled Blood Bee,0,0
Surrey,Bare-saddled Blood Bee,Surrey Bare-saddled Blood Bee,0,0
Sussex,Bare-saddled Blood Bee,Sussex Bare-saddled Blood Bee,0,0
Warwickshire,Bare-saddled Blood Bee,Warwickshire Bare-saddled Blood Bee,0,0
West Cornwall with Scilly,Bare-saddled Blood Bee,West Cornwall with Scilly Bare-saddled Blood Bee,0,0
West Gloucestershire,Bare-saddled Blood Bee,West Gloucestershire Bare-saddled Blood Bee,0,0
West Inverness-shire,Bare-saddled Blood Bee,West Inverness-shire Bare-saddled Blood Bee,0,0
West Kent,Bare-saddled Blood Bee,West Kent Bare-saddled Blood Bee,0,0
West Lancashire,Bare-saddled Blood Bee,West Lancashire Bare-saddled Blood Bee,0,0
West Norfolk,Bare-saddled Blood Bee,West Norfolk Bare-saddled Blood Bee,2,1
West Perthshire,Bare-saddled Blood Bee,West Perthshire Bare-saddled Blood Bee,0,0
West Suffolk,Bare-saddled Blood Bee,West Suffolk Bare-saddled Blood Bee,0,0
West Sussex,Bare-saddled Blood Bee,West Sussex Bare-saddled Blood Bee,0,0
Westmorland,Bare-saddled Blood Bee,Westmorland Bare-saddled Blood Bee,0,0
Worcestershire,Bare-saddled Blood Bee,Worcestershire Bare-saddled Blood Bee,0,0
Yorkshire,Bare-saddled Blood Bee,Yorkshire Bare-saddled Blood Bee,0,0
Aberdeenshire,Hawthorn Mining Bee,Aberdeenshire Hawthorn Mining Bee,0,0
Alderney,Hawthorn Mining Bee,Alderney Hawthorn Mining Bee,0,0
Angus,Hawthorn Mining Bee,Angus Hawthorn Mining Bee,0,0
Argyll & Bute,Hawthorn Mining Bee,Argyll & Bute Hawthorn Mining Bee,0,0
Argyllshire,Hawthorn Mining Bee,Argyllshire Hawthorn Mining Bee,0,0
Ayrshire,Hawthorn Mining Bee,Ayrshire Hawthorn Mining Bee,0,0
Bedfordshire,Hawthorn Mining Bee,Bedfordshire Hawthorn Mining Bee,0,0
Berkshire,Hawthorn Mining Bee,Berkshire Hawthorn Mining Bee,0,0
Berwickshire,Hawthorn Mining Bee,Berwickshire Hawthorn Mining Bee,0,0
Buckinghamshire,Hawthorn Mining Bee,Buckinghamshire Hawthorn Mining Bee,0,0
Caernarvonshire,Hawthorn Mining Bee,Caernarvonshire Hawthorn Mining Bee,0,0
Caithness,Hawthorn Mining Bee,Caithness Hawthorn Mining Bee,0,0
Camarthenshire,Hawthorn Mining Bee,Camarthenshire Hawthorn Mining Bee,0,0
Cambridgeshire,Hawthorn Mining Bee,Cambridgeshire Hawthorn Mining Bee,0,0
Cardiganshire,Hawthorn Mining Bee,Cardiganshire Hawthorn Mining Bee,0,0
Carmarthenshire,Hawthorn Mining Bee,Carmarthenshire Hawthorn Mining Bee,0,0
Ceredigion,Hawthorn Mining Bee,Ceredigion Hawthorn Mining Bee,0,0
Cheshire,Hawthorn Mining Bee,Cheshire Hawthorn Mining Bee,0,0
Clyde Isles,Hawthorn Mining Bee,Clyde Isles Hawthorn Mining Bee,0,0
Conwy,Hawthorn Mining Bee,Conwy Hawthorn Mining Bee,0,0
County Durham,Hawthorn Mining Bee,County Durham Hawthorn Mining Bee,0,0
Cumberland,Hawthorn Mining Bee,Cumberland Hawthorn Mining Bee,0,0
Denbighshire,Hawthorn Mining Bee,Denbighshire Hawthorn Mining Bee,0,0
Derbyshire,Hawthorn Mining Bee,Derbyshire Hawthorn Mining Bee,0,0
Dorset,Hawthorn Mining Bee,Dorset Hawthorn Mining Bee,0,0
Dumfriesshire,Hawthorn Mining Bee,Dumfriesshire  Hawthorn Mining Bee,0,0
Dunbartonshire,Hawthorn Mining Bee,Dunbartonshire Hawthorn Mining Bee,0,0
East Cornwall,Hawthorn Mining Bee,East Cornwall Hawthorn Mining Bee,0,0
East Gloucestershire,Hawthorn Mining Bee,East Gloucestershire Hawthorn Mining Bee,0,0
East Inverness-shire,Hawthorn Mining Bee,East Inverness-shire Hawthorn Mining Bee,0,0
East Kent,Hawthorn Mining Bee,East Kent Hawthorn Mining Bee,0,0
East Lothian,Hawthorn Mining Bee,East Lothian Hawthorn Mining Bee,0,0
East Norfolk,Hawthorn Mining Bee,East Norfolk Hawthorn Mining Bee,0,0
East Perthshire,Hawthorn Mining Bee,East Perthshire Hawthorn Mining Bee,0,0
East Suffolk,Hawthorn Mining Bee,East Suffolk Hawthorn Mining Bee,0,0
East Sussex,Hawthorn Mining Bee,East Sussex Hawthorn Mining Bee,0,0
East Sutherland,Hawthorn Mining Bee,East Sutherland Hawthorn Mining Bee,0,0
Fifeshire,Hawthorn Mining Bee,Fifeshire Hawthorn Mining Bee,0,0
Flintshire,Hawthorn Mining Bee,Flintshire Hawthorn Mining Bee,0,0
Glamorganshire,Hawthorn Mining Bee,Glamorganshire Hawthorn Mining Bee,0,0
Gwent,Hawthorn Mining Bee,Gwent Hawthorn Mining Bee,0,0
Herefordshire,Hawthorn Mining Bee,Herefordshire Hawthorn Mining Bee,0,0
Hertfordshire,Hawthorn Mining Bee,Hertfordshire Hawthorn Mining Bee,0,0
Huntingdonshire,Hawthorn Mining Bee,Huntingdonshire Hawthorn Mining Bee,0,0
Isle of Man,Hawthorn Mining Bee,Isle of Man Hawthorn Mining Bee,0,0
Isle of Wight,Hawthorn Mining Bee,Isle of Wight Hawthorn Mining Bee,0,0
Kincardineshire,Hawthorn Mining Bee,Kincardineshire Hawthorn Mining Bee,0,0
Kirkudbrightshire,Hawthorn Mining Bee,Kirkudbrightshire Hawthorn Mining Bee,0,0
Lanarkshire,Hawthorn Mining Bee,Lanarkshire Hawthorn Mining Bee,0,0
Lancashire,Hawthorn Mining Bee,Lancashire Hawthorn Mining Bee,0,0
Leicestershire,Hawthorn Mining Bee,Leicestershire Hawthorn Mining Bee,0,0
Lincolnshire,Hawthorn Mining Bee,Lincolnshire Hawthorn Mining Bee,0,0
Linlithgow,Hawthorn Mining Bee,Linlithgow Hawthorn Mining Bee,0,0
Mid Perthshire,Hawthorn Mining Bee,Mid Perthshire Hawthorn Mining Bee,0,0
Mid-west Yorkshire,Hawthorn Mining Bee,Mid-west Yorkshire Hawthorn Mining Bee,0,0
Middlesex,Hawthorn Mining Bee,Middlesex Hawthorn Mining Bee,0,0
Midlothian,Hawthorn Mining Bee,Midlothian Hawthorn Mining Bee,0,0
Monmouthshire,Hawthorn Mining Bee,Monmouthshire Hawthorn Mining Bee,0,0
Moray,Hawthorn Mining Bee,Moray Hawthorn Mining Bee,0,0
North Aberdeenshire,Hawthorn Mining Bee,North Aberdeenshire Hawthorn Mining Bee,0,0
North Ayrshire,Hawthorn Mining Bee,North Ayrshire Hawthorn Mining Bee,0,0
North Devon,Hawthorn Mining Bee,North Devon Hawthorn Mining Bee,0,0
North Essex,Hawthorn Mining Bee,North Essex Hawthorn Mining Bee,0,0
North Hampshire,Hawthorn Mining Bee,North Hampshire Hawthorn Mining Bee,0,0
North Lanarkshire,Hawthorn Mining Bee,North Lanarkshire Hawthorn Mining Bee,0,0
North Lincolnshire,Hawthorn Mining Bee,North Lincolnshire Hawthorn Mining Bee,0,0
North Northumberland,Hawthorn Mining Bee,North Northumberland Hawthorn Mining Bee,0,0
North Somerset,Hawthorn Mining Bee,North Somerset Hawthorn Mining Bee,0,0
North Wiltshire,Hawthorn Mining Bee,North Wiltshire Hawthorn Mining Bee,0,0
North-east Yorkshire,Hawthorn Mining Bee,North-east Yorkshire Hawthorn Mining Bee,0,0
North-west Yorkshire,Hawthorn Mining Bee,North-west Yorkshire Hawthorn Mining Bee,0,0
Northamptonshire,Hawthorn Mining Bee,Northamptonshire Hawthorn Mining Bee,0,0
Northumberland,Hawthorn Mining Bee,Northumberland Hawthorn Mining Bee,0,0
Nottinghamshire,Hawthorn Mining Bee,Nottinghamshire Hawthorn Mining Bee,0,0
Orkney,Hawthorn Mining Bee,Orkney Hawthorn Mining Bee,0,0
Oxfordshire,Hawthorn Mining Bee,Oxfordshire Hawthorn Mining Bee,0,0
Pembrokeshire,Hawthorn Mining Bee,Pembrokeshire Hawthorn Mining Bee,0,0
Perthshire,Hawthorn Mining Bee,Perthshire Hawthorn Mining Bee,0,0
Radnorshire,Hawthorn Mining Bee,Radnorshire Hawthorn Mining Bee,0,0
Renfrewshire,Hawthorn Mining Bee,Renfrewshire Hawthorn Mining Bee,0,0
Roxburghshire,Hawthorn Mining Bee,Roxburghshire Hawthorn Mining Bee,0,0
Shropshire,Hawthorn Mining Bee,Shropshire Hawthorn Mining Bee,0,0
South Aberdeenshire,Hawthorn Mining Bee,South Aberdeenshire Hawthorn Mining Bee,0,0
South Devon,Hawthorn Mining Bee,South Devon Hawthorn Mining Bee,0,0
South East Yorkshire,Hawthorn Mining Bee,South East Yorkshire Hawthorn Mining Bee,0,0
South Ebudes,Hawthorn Mining Bee,South Ebudes Hawthorn Mining Bee,0,0
South Essex,Hawthorn Mining Bee,South Essex Hawthorn Mining Bee,0,0
South Hampshire,Hawthorn Mining Bee,South Hampshire Hawthorn Mining Bee,0,0
South Lanarkshire,Hawthorn Mining Bee,South Lanarkshire Hawthorn Mining Bee,0,0
South Lancashire,Hawthorn Mining Bee,South Lancashire Hawthorn Mining Bee,0,0
South Lincolnshire,Hawthorn Mining Bee,South Lincolnshire Hawthorn Mining Bee,0,0
South Northumberland,Hawthorn Mining Bee,South Northumberland Hawthorn Mining Bee,0,0
South Somerset,Hawthorn Mining Bee,South Somerset Hawthorn Mining Bee,0,0
South Wiltshire,Hawthorn Mining Bee,South Wiltshire Hawthorn Mining Bee,0,0
South-east Yorkshire,Hawthorn Mining Bee,South-east Yorkshire Hawthorn Mining Bee,0,0
South-west Yorkshire,Hawthorn Mining Bee,South-west Yorkshire Hawthorn Mining Bee,0,0
Staffordshire,Hawthorn Mining Bee,Staffordshire Hawthorn Mining Bee,0,0
Stirlingshire,Hawthorn Mining Bee,Stirlingshire Hawthorn Mining Bee,0,0
Surrey,Hawthorn Mining Bee,Surrey Hawthorn Mining Bee,0,0
Sussex,Hawthorn Mining Bee,Sussex Hawthorn Mining Bee,0,0
Warwickshire,Hawthorn Mining Bee,Warwickshire Hawthorn Mining Bee,0,0
West Cornwall with Scilly,Hawthorn Mining Bee,West Cornwall with Scilly Hawthorn Mining Bee,0,0
West Gloucestershire,Hawthorn Mining Bee,West Gloucestershire Hawthorn Mining Bee,0,0
West Inverness-shire,Hawthorn Mining Bee,West Inverness-shire Hawthorn Mining Bee,0,0
West Kent,Hawthorn Mining Bee,West Kent Hawthorn Mining Bee,0,0
West Lancashire,Hawthorn Mining Bee,West Lancashire Hawthorn Mining Bee,0,0
West Norfolk,Hawthorn Mining Bee,West Norfolk Hawthorn Mining Bee,2,1
West Perthshire,Hawthorn Mining Bee,West Perthshire Hawthorn Mining Bee,0,0
West Suffolk,Hawthorn Mining Bee,West Suffolk Hawthorn Mining Bee,0,0
West Sussex,Hawthorn Mining Bee,West Sussex Hawthorn Mining Bee,0,0
Westmorland,Hawthorn Mining Bee,Westmorland Hawthorn Mining Bee,0,0
Worcestershire,Hawthorn Mining Bee,Worcestershire Hawthorn Mining Bee,0,0
Yorkshire,Hawthorn Mining Bee,Yorkshire Hawthorn Mining Bee,0,0
Aberdeenshire,Buffish Mining Bee,Aberdeenshire Buffish Mining Bee,0,0
Alderney,Buffish Mining Bee,Alderney Buffish Mining Bee,0,0
Angus,Buffish Mining Bee,Angus Buffish Mining Bee,0,0
Argyll & Bute,Buffish Mining Bee,Argyll & Bute Buffish Mining Bee,0,0
Argyllshire,Buffish Mining Bee,Argyllshire Buffish Mining Bee,0,0
Ayrshire,Buffish Mining Bee,Ayrshire Buffish Mining Bee,0,0
Bedfordshire,Buffish Mining Bee,Bedfordshire Buffish Mining Bee,0,0
Berkshire,Buffish Mining Bee,Berkshire Buffish Mining Bee,0,0
Berwickshire,Buffish Mining Bee,Berwickshire Buffish Mining Bee,0,0
Buckinghamshire,Buffish Mining Bee,Buckinghamshire Buffish Mining Bee,0,0
Caernarvonshire,Buffish Mining Bee,Caernarvonshire Buffish Mining Bee,0,0
Caithness,Buffish Mining Bee,Caithness Buffish Mining Bee,0,0
Camarthenshire,Buffish Mining Bee,Camarthenshire Buffish Mining Bee,0,0
Cambridgeshire,Buffish Mining Bee,Cambridgeshire Buffish Mining Bee,0,0
Cardiganshire,Buffish Mining Bee,Cardiganshire Buffish Mining Bee,0,0
Carmarthenshire,Buffish Mining Bee,Carmarthenshire Buffish Mining Bee,0,0
Ceredigion,Buffish Mining Bee,Ceredigion Buffish Mining Bee,0,0
Cheshire,Buffish Mining Bee,Cheshire Buffish Mining Bee,0,0
Clyde Isles,Buffish Mining Bee,Clyde Isles Buffish Mining Bee,0,0
Conwy,Buffish Mining Bee,Conwy Buffish Mining Bee,0,0
County Durham,Buffish Mining Bee,County Durham Buffish Mining Bee,0,0
Cumberland,Buffish Mining Bee,Cumberland Buffish Mining Bee,0,0
Denbighshire,Buffish Mining Bee,Denbighshire Buffish Mining Bee,0,0
Derbyshire,Buffish Mining Bee,Derbyshire Buffish Mining Bee,0,0
Dorset,Buffish Mining Bee,Dorset Buffish Mining Bee,0,0
Dumfriesshire,Buffish Mining Bee,Dumfriesshire  Buffish Mining Bee,0,0
Dunbartonshire,Buffish Mining Bee,Dunbartonshire Buffish Mining Bee,0,0
East Cornwall,Buffish Mining Bee,East Cornwall Buffish Mining Bee,0,0
East Gloucestershire,Buffish Mining Bee,East Gloucestershire Buffish Mining Bee,0,0
East Inverness-shire,Buffish Mining Bee,East Inverness-shire Buffish Mining Bee,0,0
East Kent,Buffish Mining Bee,East Kent Buffish Mining Bee,0,0
East Lothian,Buffish Mining Bee,East Lothian Buffish Mining Bee,0,0
East Norfolk,Buffish Mining Bee,East Norfolk Buffish Mining Bee,0,0
East Perthshire,Buffish Mining Bee,East Perthshire Buffish Mining Bee,0,0
East Suffolk,Buffish Mining Bee,East Suffolk Buffish Mining Bee,0,0
East Sussex,Buffish Mining Bee,East Sussex Buffish Mining Bee,0,0
East Sutherland,Buffish Mining Bee,East Sutherland Buffish Mining Bee,0,0
Fifeshire,Buffish Mining Bee,Fifeshire Buffish Mining Bee,0,0
Flintshire,Buffish Mining Bee,Flintshire Buffish Mining Bee,0,0
Glamorganshire,Buffish Mining Bee,Glamorganshire Buffish Mining Bee,0,0
Gwent,Buffish Mining Bee,Gwent Buffish Mining Bee,0,0
Herefordshire,Buffish Mining Bee,Herefordshire Buffish Mining Bee,0,0
Hertfordshire,Buffish Mining Bee,Hertfordshire Buffish Mining Bee,0,0
Huntingdonshire,Buffish Mining Bee,Huntingdonshire Buffish Mining Bee,0,0
Isle of Man,Buffish Mining Bee,Isle of Man Buffish Mining Bee,0,0
Isle of Wight,Buffish Mining Bee,Isle of Wight Buffish Mining Bee,0,0
Kincardineshire,Buffish Mining Bee,Kincardineshire Buffish Mining Bee,0,0
Kirkudbrightshire,Buffish Mining Bee,Kirkudbrightshire Buffish Mining Bee,0,0
Lanarkshire,Buffish Mining Bee,Lanarkshire Buffish Mining Bee,0,0
Lancashire,Buffish Mining Bee,Lancashire Buffish Mining Bee,0,0
Leicestershire,Buffish Mining Bee,Leicestershire Buffish Mining Bee,0,0
Lincolnshire,Buffish Mining Bee,Lincolnshire Buffish Mining Bee,0,0
Linlithgow,Buffish Mining Bee,Linlithgow Buffish Mining Bee,0,0
Mid Perthshire,Buffish Mining Bee,Mid Perthshire Buffish Mining Bee,0,0
Mid-west Yorkshire,Buffish Mining Bee,Mid-west Yorkshire Buffish Mining Bee,0,0
Middlesex,Buffish Mining Bee,Middlesex Buffish Mining Bee,0,0
Midlothian,Buffish Mining Bee,Midlothian Buffish Mining Bee,0,0
Monmouthshire,Buffish Mining Bee,Monmouthshire Buffish Mining Bee,0,0
Moray,Buffish Mining Bee,Moray Buffish Mining Bee,0,0
North Aberdeenshire,Buffish Mining Bee,North Aberdeenshire Buffish Mining Bee,0,0
North Ayrshire,Buffish Mining Bee,North Ayrshire Buffish Mining Bee,0,0
North Devon,Buffish Mining Bee,North Devon Buffish Mining Bee,0,0
North Essex,Buffish Mining Bee,North Essex Buffish Mining Bee,0,0
North Hampshire,Buffish Mining Bee,North Hampshire Buffish Mining Bee,0,0
North Lanarkshire,Buffish Mining Bee,North Lanarkshire Buffish Mining Bee,0,0
North Lincolnshire,Buffish Mining Bee,North Lincolnshire Buffish Mining Bee,0,0
North Northumberland,Buffish Mining Bee,North Northumberland Buffish Mining Bee,0,0
North Somerset,Buffish Mining Bee,North Somerset Buffish Mining Bee,0,0
North Wiltshire,Buffish Mining Bee,North Wiltshire Buffish Mining Bee,0,0
North-east Yorkshire,Buffish Mining Bee,North-east Yorkshire Buffish Mining Bee,0,0
North-west Yorkshire,Buffish Mining Bee,North-west Yorkshire Buffish Mining Bee,0,0
Northamptonshire,Buffish Mining Bee,Northamptonshire Buffish Mining Bee,0,0
Northumberland,Buffish Mining Bee,Northumberland Buffish Mining Bee,0,0
Nottinghamshire,Buffish Mining Bee,Nottinghamshire Buffish Mining Bee,0,0
Orkney,Buffish Mining Bee,Orkney Buffish Mining Bee,0,0
Oxfordshire,Buffish Mining Bee,Oxfordshire Buffish Mining Bee,0,0
Pembrokeshire,Buffish Mining Bee,Pembrokeshire Buffish Mining Bee,0,0
Perthshire,Buffish Mining Bee,Perthshire Buffish Mining Bee,0,0
Radnorshire,Buffish Mining Bee,Radnorshire Buffish Mining Bee,0,0
Renfrewshire,Buffish Mining Bee,Renfrewshire Buffish Mining Bee,0,0
Roxburghshire,Buffish Mining Bee,Roxburghshire Buffish Mining Bee,0,0
Shropshire,Buffish Mining Bee,Shropshire Buffish Mining Bee,0,0
